TriRapide

Nombre de données, Intervalle des données, Taux de dispersion, nombre d'instructions,mémoire maximale(bytes), temps de traitement(us);
10000, 1000000, 100,250607, 500, 1611;
10000, 1000000, 100,250607, 500, 2039;
10000, 1000000, 100,250607, 500, 1636;
10000, 1000000, 100,250607, 500, 1621;
10000, 1000000, 100,250607, 500, 2333;
10000, 1000000, 100,250607, 500, 2737;
10000, 100000000, 0,291042, 580, 1617;
10000, 100000000, 0,291042, 580, 1623;
10000, 100000000, 0,291042, 580, 1525;
10000, 100000000, 0,291042, 580, 1527;
10000, 100000000, 0,291042, 580, 1554;
10000, 100000000, 0,291042, 580, 1527;
10000, 100000000, 0,291042, 580, 1554;
10000, 100000000, 0,291042, 580, 1526;
10000, 100000000, 0,291042, 580, 1634;
10000, 100000000, 0,291042, 580, 1633;
10000, 100000000, 25,281686, 564, 1831;
10000, 100000000, 25,281686, 564, 1834;
10000, 100000000, 25,281686, 564, 1828;
10000, 100000000, 25,281686, 564, 1831;
10000, 100000000, 25,281686, 564, 1736;
10000, 100000000, 25,281686, 564, 1837;
10000, 100000000, 25,281686, 564, 1790;
10000, 100000000, 25,281686, 564, 1715;
10000, 100000000, 25,281686, 564, 1874;
10000, 100000000, 25,281686, 564, 1827;
10000, 100000000, 50,267464, 516, 1869;
10000, 100000000, 50,267464, 516, 1794;
10000, 100000000, 50,267464, 516, 1736;
10000, 100000000, 50,267464, 516, 1737;
10000, 100000000, 50,267464, 516, 1740;
10000, 100000000, 50,267464, 516, 1741;
10000, 100000000, 50,267464, 516, 1738;
10000, 100000000, 50,267464, 516, 1735;
10000, 100000000, 50,267464, 516, 1733;
10000, 100000000, 50,267464, 516, 1758;
10000, 100000000, 75,270232, 548, 1868;
10000, 100000000, 75,270232, 548, 2024;
10000, 100000000, 75,270232, 548, 1853;
10000, 100000000, 75,270232, 548, 1859;
10000, 100000000, 75,270232, 548, 1853;
10000, 100000000, 75,270232, 548, 1741;
10000, 100000000, 75,270232, 548, 1737;
10000, 100000000, 75,270232, 548, 1742;
10000, 100000000, 75,270232, 548, 1737;
10000, 100000000, 75,270232, 548, 1740;
10000, 100000000, 100,250607, 500, 1618;
10000, 100000000, 100,250607, 500, 1615;
10000, 100000000, 100,250607, 500, 1617;
10000, 100000000, 100,250607, 500, 1613;
10000, 100000000, 100,250607, 500, 1617;
10000, 100000000, 100,250607, 500, 1632;
10000, 100000000, 100,250607, 500, 1613;
10000, 100000000, 100,250607, 500, 1511;
10000, 100000000, 100,250607, 500, 1518;
10000, 100000000, 100,250607, 500, 1522;
20000, 100, 0,9243909, 6612, 44525;
20000, 100, 0,9243909, 6612, 45095;
20000, 100, 0,9243909, 6612, 44603;
20000, 100, 0,9243909, 6612, 45812;
20000, 100, 0,9243909, 6612, 45886;
20000, 100, 0,9242285, 6612, 49771;
20000, 100, 0,7535943, 6660, 36196;
20000, 100, 0,7535943, 6660, 36202;
20000, 100, 0,7535943, 6660, 36342;
20000, 100, 0,7535943, 6660, 37610;
20000, 100, 25,4482502, 3972, 23237;
20000, 100, 25,4482502, 3972, 22904;
20000, 100, 25,4482502, 3972, 22310;
20000, 100, 25,4482502, 3972, 21959;
20000, 100, 25,4482502, 3972, 23203;
20000, 100, 25,4482502, 3972, 22419;
20000, 100, 25,4482502, 3972, 22049;
20000, 100, 25,4482502, 3972, 23371;
20000, 100, 25,4482502, 3972, 22586;
20000, 100, 25,4482502, 3972, 22684;
20000, 100, 50,4722269, 4708, 26354;
20000, 100, 50,4722269, 4708, 25321;
20000, 100, 50,4722269, 4708, 26092;
20000, 100, 50,4722269, 4708, 24639;
20000, 100, 50,4722269, 4708, 24754;
20000, 100, 50,4722269, 4708, 24765;
20000, 100, 50,4722269, 4708, 24696;
20000, 100, 50,4722269, 4708, 23305;
20000, 100, 50,4722269, 4708, 24480;
20000, 100, 50,4722269, 4708, 23899;
20000, 100, 75,4519079, 4420, 22396;
20000, 100, 75,4519079, 4420, 22880;
20000, 100, 75,4519079, 4420, 22336;
20000, 100, 75,4519079, 4420, 22490;
