TriBase

Nombre de données, Intervalle des données, Taux de dispersion, nombre d'instructions,mémoire maximale(bytes), temps de traitement(us);
10000, 1000000, 100,350204, 40120, 1883;
10000, 1000000, 100,350204, 40120, 1886;
10000, 1000000, 100,350204, 40120, 1883;
10000, 1000000, 100,350204, 40120, 1880;
10000, 1000000, 100,350204, 40120, 1886;
10000, 100000000, 0,450262, 40120, 2417;
10000, 100000000, 0,450262, 40120, 2418;
10000, 100000000, 0,450262, 40120, 2565;
10000, 100000000, 0,450262, 40120, 2448;
10000, 100000000, 0,450262, 40120, 2416;
10000, 100000000, 0,450262, 40120, 2447;
10000, 100000000, 0,450262, 40120, 2417;
10000, 100000000, 0,450262, 40120, 2413;
10000, 100000000, 0,450262, 40120, 2420;
10000, 100000000, 0,450262, 40120, 2417;
10000, 100000000, 25,450262, 40120, 2414;
10000, 100000000, 25,450262, 40120, 3376;
10000, 100000000, 25,450262, 40120, 3667;
10000, 100000000, 25,450262, 40120, 2438;
10000, 100000000, 25,450262, 40120, 2265;
10000, 100000000, 25,450262, 40120, 2265;
10000, 100000000, 25,450262, 40120, 2264;
10000, 100000000, 25,450262, 40120, 2266;
10000, 100000000, 25,450262, 40120, 2296;
10000, 100000000, 25,450262, 40120, 2265;
10000, 100000000, 50,450262, 40120, 2367;
10000, 100000000, 50,450262, 40120, 2315;
10000, 100000000, 50,450262, 40120, 2392;
10000, 100000000, 50,450262, 40120, 2305;
10000, 100000000, 50,450262, 40120, 2287;
10000, 100000000, 50,450262, 40120, 2264;
10000, 100000000, 50,450262, 40120, 2264;
10000, 100000000, 50,450262, 40120, 2264;
10000, 100000000, 50,450262, 40120, 2292;
10000, 100000000, 50,450262, 40120, 2417;
10000, 100000000, 75,450262, 40120, 2418;
10000, 100000000, 75,450262, 40120, 2424;
10000, 100000000, 75,450262, 40120, 2262;
10000, 100000000, 75,450262, 40120, 2265;
10000, 100000000, 75,450262, 40120, 2290;
10000, 100000000, 75,450262, 40120, 2265;
10000, 100000000, 75,450262, 40120, 2269;
10000, 100000000, 75,450262, 40120, 2265;
10000, 100000000, 75,450262, 40120, 2375;
10000, 100000000, 75,450262, 40120, 2265;
10000, 100000000, 100,450262, 40120, 2416;
10000, 100000000, 100,450262, 40120, 2825;
10000, 100000000, 100,450262, 40120, 2264;
10000, 100000000, 100,450262, 40120, 2298;
10000, 100000000, 100,450262, 40120, 2300;
10000, 100000000, 100,450262, 40120, 2417;
10000, 100000000, 100,450262, 40120, 2264;
10000, 100000000, 100,450262, 40120, 2297;
10000, 100000000, 100,450262, 40120, 2263;
10000, 100000000, 100,450262, 40120, 2266;
20000, 100, 0,300088, 80120, 1508;
20000, 100, 0,300088, 80120, 1591;
20000, 100, 0,300088, 80120, 1521;
20000, 100, 0,300088, 80120, 1512;
20000, 100, 0,300088, 80120, 1511;
20000, 100, 0,300088, 80120, 1512;
20000, 100, 0,300088, 80120, 1644;
20000, 100, 0,300088, 80120, 1509;
20000, 100, 0,300088, 80120, 1514;
20000, 100, 0,300088, 80120, 1511;
20000, 100, 25,300088, 80120, 1512;
20000, 100, 25,300088, 80120, 1640;
20000, 100, 25,300088, 80120, 1655;
20000, 100, 25,300088, 80120, 1542;
20000, 100, 25,300088, 80120, 1513;
20000, 100, 25,300088, 80120, 1512;
20000, 100, 25,300088, 80120, 1726;
20000, 100, 25,300088, 80120, 1612;
20000, 100, 25,300088, 80120, 1528;
20000, 100, 25,300088, 80120, 1509;
20000, 100, 50,300088, 80120, 1557;
20000, 100, 50,300088, 80120, 1619;
20000, 100, 50,300088, 80120, 1514;
20000, 100, 50,300088, 80120, 1690;
20000, 100, 50,300088, 80120, 1510;
20000, 100, 50,300088, 80120, 1511;
20000, 100, 50,300088, 80120, 1510;
20000, 100, 50,300088, 80120, 1512;
20000, 100, 50,300088, 80120, 1613;
20000, 100, 50,300088, 80120, 1579;
20000, 100, 75,300088, 80120, 1610;
20000, 100, 75,300088, 80120, 1617;
20000, 100, 75,300088, 80120, 1511;
20000, 100, 75,300088, 80120, 1587;
20000, 100, 75,300088, 80120, 1508;
20000, 100, 75,300088, 80120, 1508;
20000, 100, 75,300088, 80120, 1614;
20000, 100, 75,300088, 80120, 1611;
20000, 100, 75,300088, 80120, 1633;
20000, 100, 75,300088, 80120, 1611;
20000, 100, 100,300088, 80120, 1557;
20000, 100, 100,300088, 80120, 1514;
20000, 100, 100,300088, 80120, 1511;
20000, 100, 100,300088, 80120, 1573;
20000, 100, 100,300088, 80120, 1542;
20000, 100, 100,300088, 80120, 1876;
20000, 100, 100,300088, 80120, 1610;
20000, 100, 100,300088, 80120, 2360;
20000, 100, 100,300088, 80120, 2274;
20000, 100, 100,300088, 80120, 1610;
20000, 10000, 0,500146, 80120, 2694;
20000, 10000, 0,500146, 80120, 2876;
20000, 10000, 0,500146, 80120, 2554;
20000, 10000, 0,500146, 80120, 2647;
20000, 10000, 0,500146, 80120, 3434;
20000, 10000, 0,500146, 80120, 2721;
20000, 10000, 0,500146, 80120, 2536;
20000, 10000, 0,500146, 80120, 2529;
20000, 10000, 0,500146, 80120, 2744;
20000, 10000, 0,500146, 80120, 2530;
20000, 10000, 25,500146, 80120, 2715;
20000, 10000, 25,500146, 80120, 2529;
20000, 10000, 25,500146, 80120, 2712;
20000, 10000, 25,500146, 80120, 2529;
20000, 10000, 25,500146, 80120, 2642;
20000, 10000, 25,500146, 80120, 2530;
20000, 10000, 25,500146, 80120, 2725;
20000, 10000, 25,500146, 80120, 2697;
20000, 10000, 25,500146, 80120, 2696;
20000, 10000, 25,500146, 80120, 2558;
20000, 10000, 50,500146, 80120, 2569;
20000, 10000, 50,500146, 80120, 2650;
20000, 10000, 50,500146, 80120, 2590;
20000, 10000, 50,500146, 80120, 2648;
20000, 10000, 50,500146, 80120, 2529;
20000, 10000, 50,500146, 80120, 2527;
20000, 10000, 50,500146, 80120, 2526;
20000, 10000, 50,500146, 80120, 2530;
20000, 10000, 50,500146, 80120, 2534;
20000, 10000, 50,500146, 80120, 2560;
20000, 10000, 75,500146, 80120, 2702;
20000, 10000, 75,500146, 80120, 2703;
20000, 10000, 75,500146, 80120, 2629;
20000, 10000, 75,500146, 80120, 2531;
20000, 10000, 75,500146, 80120, 2559;
20000, 10000, 75,500146, 80120, 2532;
20000, 10000, 75,500146, 80120, 2528;
20000, 10000, 75,500146, 80120, 2531;
20000, 10000, 75,500146, 80120, 2530;
20000, 10000, 75,500146, 80120, 2534;
20000, 10000, 100,500146, 80120, 2698;
20000, 10000, 100,500146, 80120, 2927;
20000, 10000, 100,500146, 80120, 2771;
20000, 10000, 100,500146, 80120, 2672;
20000, 10000, 100,500146, 80120, 2697;
20000, 10000, 100,500146, 80120, 2775;
20000, 10000, 100,500146, 80120, 2697;
20000, 10000, 100,500146, 80120, 2869;
20000, 10000, 100,500146, 80120, 2699;
20000, 10000, 100,500146, 80120, 2750;
20000, 1000000, 0,700204, 80120, 3933;
20000, 1000000, 0,700204, 80120, 3772;
20000, 1000000, 0,700204, 80120, 3796;
20000, 1000000, 0,700204, 80120, 3811;
20000, 1000000, 0,700204, 80120, 3797;
20000, 1000000, 0,700204, 80120, 3792;
20000, 1000000, 0,700204, 80120, 3821;
20000, 1000000, 0,700204, 80120, 3949;
20000, 1000000, 0,700204, 80120, 4315;
20000, 1000000, 0,700204, 80120, 5116;
20000, 1000000, 25,700204, 80120, 4651;
20000, 1000000, 25,700204, 80120, 3936;
20000, 1000000, 25,700204, 80120, 3534;
20000, 1000000, 25,700204, 80120, 4257;
20000, 1000000, 25,700204, 80120, 3537;
20000, 1000000, 25,700204, 80120, 3539;
20000, 1000000, 25,700204, 80120, 3577;
20000, 1000000, 25,700204, 80120, 3537;
20000, 1000000, 25,700204, 80120, 3899;
20000, 1000000, 25,700204, 80120, 3552;
20000, 1000000, 50,700204, 80120, 3538;
20000, 1000000, 50,700204, 80120, 3876;
20000, 1000000, 50,700204, 80120, 3535;
20000, 1000000, 50,700204, 80120, 4202;
20000, 1000000, 50,700204, 80120, 3532;
20000, 1000000, 50,700204, 80120, 5160;
20000, 1000000, 50,700204, 80120, 3644;
20000, 1000000, 50,700204, 80120, 3535;
20000, 1000000, 50,700204, 80120, 3682;
20000, 1000000, 50,700204, 80120, 3536;
20000, 1000000, 75,700204, 80120, 3537;
20000, 1000000, 75,700204, 80120, 3536;
20000, 1000000, 75,700204, 80120, 3549;
20000, 1000000, 75,700204, 80120, 3579;
20000, 1000000, 75,700204, 80120, 3535;
20000, 1000000, 75,700204, 80120, 3826;
20000, 1000000, 75,700204, 80120, 3536;
20000, 1000000, 75,700204, 80120, 3728;
20000, 1000000, 75,700204, 80120, 3566;
20000, 1000000, 75,700204, 80120, 3535;
20000, 1000000, 100,700204, 80120, 3859;
20000, 1000000, 100,700204, 80120, 3775;
20000, 1000000, 100,700204, 80120, 3775;
20000, 1000000, 100,700204, 80120, 3798;
20000, 1000000, 100,700204, 80120, 3772;
20000, 1000000, 100,700204, 80120, 3764;
20000, 1000000, 100,700204, 80120, 3535;
20000, 1000000, 100,700204, 80120, 3600;
20000, 1000000, 100,700204, 80120, 3535;
20000, 1000000, 100,700204, 80120, 3782;
20000, 100000000, 0,900262, 80120, 4945;
20000, 100000000, 0,900262, 80120, 4835;
20000, 100000000, 0,900262, 80120, 4535;
20000, 100000000, 0,900262, 80120, 4952;
20000, 100000000, 0,900262, 80120, 4843;
20000, 100000000, 0,900262, 80120, 4840;
20000, 100000000, 0,900262, 80120, 4825;
20000, 100000000, 0,900262, 80120, 4837;
20000, 100000000, 0,900262, 80120, 5095;
20000, 100000000, 0,900262, 80120, 5147;
20000, 100000000, 25,900262, 80120, 6475;
20000, 100000000, 25,900262, 80120, 4837;
20000, 100000000, 25,900262, 80120, 4842;
20000, 100000000, 25,900262, 80120, 4923;
20000, 100000000, 25,900262, 80120, 4835;
20000, 100000000, 25,900262, 80120, 4842;
20000, 100000000, 25,900262, 80120, 4854;
20000, 100000000, 25,900262, 80120, 4855;
20000, 100000000, 25,900262, 80120, 7344;
20000, 100000000, 25,900262, 80120, 5140;
20000, 100000000, 50,900262, 80120, 5424;
20000, 100000000, 50,900262, 80120, 4539;
20000, 100000000, 50,900262, 80120, 4738;
20000, 100000000, 50,900262, 80120, 4531;
20000, 100000000, 50,900262, 80120, 4534;
20000, 100000000, 50,900262, 80120, 5255;
20000, 100000000, 50,900262, 80120, 4838;
20000, 100000000, 50,900262, 80120, 4544;
20000, 100000000, 50,900262, 80120, 4604;
20000, 100000000, 50,900262, 80120, 4536;
20000, 100000000, 75,900262, 80120, 4841;
20000, 100000000, 75,900262, 80120, 4670;
20000, 100000000, 75,900262, 80120, 4534;
20000, 100000000, 75,900262, 80120, 4539;
20000, 100000000, 75,900262, 80120, 4816;
20000, 100000000, 75,900262, 80120, 4565;
20000, 100000000, 75,900262, 80120, 4601;
20000, 100000000, 75,900262, 80120, 4577;
20000, 100000000, 75,900262, 80120, 5917;
20000, 100000000, 75,900262, 80120, 4538;
20000, 100000000, 100,900262, 80120, 4945;
20000, 100000000, 100,900262, 80120, 4535;
20000, 100000000, 100,900262, 80120, 4531;
20000, 100000000, 100,900262, 80120, 4634;
20000, 100000000, 100,900262, 80120, 4536;
20000, 100000000, 100,900262, 80120, 4645;
20000, 100000000, 100,900262, 80120, 4572;
20000, 100000000, 100,900262, 80120, 4650;
20000, 100000000, 100,900262, 80120, 4857;
20000, 100000000, 100,900262, 80120, 4533;
30000, 100, 0,450088, 120120, 2265;
30000, 100, 0,450088, 120120, 2274;
30000, 100, 0,450088, 120120, 2613;
30000, 100, 0,450088, 120120, 2339;
30000, 100, 0,450088, 120120, 2317;
30000, 100, 0,450088, 120120, 2315;
30000, 100, 0,450088, 120120, 2347;
30000, 100, 0,450088, 120120, 2304;
30000, 100, 0,450088, 120120, 2297;
30000, 100, 0,450088, 120120, 2266;
30000, 100, 25,450088, 120120, 2268;
30000, 100, 25,450088, 120120, 2853;
30000, 100, 25,450088, 120120, 2417;
30000, 100, 25,450088, 120120, 2422;
30000, 100, 25,450088, 120120, 2265;
30000, 100, 25,450088, 120120, 2265;
30000, 100, 25,450088, 120120, 2398;
30000, 100, 25,450088, 120120, 2261;
30000, 100, 25,450088, 120120, 3683;
30000, 100, 25,450088, 120120, 3619;
30000, 100, 50,450088, 120120, 2417;
30000, 100, 50,450088, 120120, 2269;
